Aerobic-Kurs | der | die | Aerobik | Der Aerobic-Kurs beginnt um 18 Uhr.
Schwimmbad | das | die Schwimmbäder | yüzme havuzu | Im Sommer gehen wir oft ins Schwimmbad.
Selbstlernkurs | der | -e | kendi kendine öğrenme kursu | Er hat einen Selbstlernkurs für Englisch gemacht.
Seminar | das | -e | seminer | Das Seminar über Nachhaltigkeit war sehr informativ.
SMS | die | -s | SMS | Hast du meine SMS erhalten?
Snowboard | das | -s | snowboard | Im Winter fährt er gerne Snowboard.
Sonstige | das | -n | diğerleri | Haben Sie noch sonstige Fragen?
Spaß | der | die Späße | eğlence | Wir hatten viel Spaß auf der Party gestern.
Spiel | das | -e | oyun | Sie spielen ein Brettspiel im Wohnzimmer.
Sportstudio | das | -s | spor salonu | Sie trainiert regelmäßig im Sportstudio.
Sprachunterricht | der | -e | dil dersi | Er nimmt Sprachunterricht, um sein Deutsch zu verbessern.
Sprachurlaub | der | -e | dil tatili | Im Sprachurlaub lernt man eine Fremdsprache intensiv.
Studium | das | - | üniversite eğitimi | Mein Studium dauert fünf Jahre.
Studio | das | -s | stüdyo | Sie nimmt Gesangsstunden im Studio.
Tango | der | -s | tango | Sie liebt es, Tango zu tanzen.
Tangokurs | der | -e | tango kursu | Er besucht einen Tangokurs in seiner Freizeit.
Tanzkurs | der | -e | dans kursu | Sie hat sich für einen Tanzkurs angemeldet.
Tanzschule | die | -n | dans okulu | Die Tanzschule bietet Kurse für verschiedene Tanzstile an.
Termin | der | -e | randevu | Haben Sie schon einen Termin beim Arzt vereinbart?
Text | der | -e | metin | Kannst du diesen Text ins Englische übersetzen?
Theater | das | - | tiyatro | Sie gehen gerne ins Theater, um sich ein Stück anzusehen.
Tipp | der | -s | ipucu | Danke für den Tipp, das hat mir sehr geholfen.
Übung | die | -en | alıştırma | Machen Sie diese Übung, um Ihr Wissen zu festigen.
Universität | die | -en | üniversite | Sie studiert an der Universität Medizin.
Ukraine | die | - | Ukrayna | Er stammt aus der Ukraine, aber lebt jetzt in Deutschland.
Unterricht | der | - | ders | Der Unterricht beginnt um 9 Uhr morgens.
Urlaub | der | -e | tatil | Wir fahren nächsten Monat in den Urlaub.
Vermutung | die | -en | tahmin | Meine Vermutung war richtig.
Vorsatz | der | die Vorsätze | karar | Mein Vorsatz für das neue Jahr ist mehr Sport zu treiben.
Vorschlag | der | die Vorschläge | öneri | Hast du einen Vorschlag für unser Projekt?
Web-Seite | die | -n | web sitesi | Diese Web-Seite bietet viele Informationen über das Thema.
Weiterbildung | die | - | mesleki gelişim | Weiterbildung ist wichtig für den beruflichen Erfolg.
Werbung | die | -en | reklam | Die Werbung im Fernsehen ist oft sehr kreativ.
Wetterbericht | der | -e | hava durumu raporu | Ich schaue jeden Morgen den Wetterbericht im Fernsehen.
Wichtigkeit | die | - | önem | Die Wichtigkeit dieses Themas wird oft unterschätzt.
Wunsch | der | die Wünsche | istek | Mein größter Wunsch ist es, die Welt zu bereisen.
Zahl | die | -en | sayı | Die Zahl der Besucher hat sich in den letzten Jahren verdoppelt.
Zeitmanagement | das | - | zaman yönetimi | Gutes Zeitmanagement ist wichtig, um effizient zu arbeiten.
Zeitplanung | die | - | zaman planlaması | Eine gute Zeitplanung hilft dabei, den Tag effektiv zu nutzen.
Zeitschrift | die | -en | dergi | Sie liest gerne Zeitschriften über Mode und Lifestyle.
Zeitung | die | -en | gazete | Er liest jeden Morgen die Zeitung, um über aktuelle Ereignisse informiert zu sein.
Zeitungstext | der | -e | gazete metni | Der Zeitungstext handelt von politischen Ereignissen.
